SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
1276,"Newfield Lane - land at Manor House Farm, Ledsham",0.7,"",20,P,"",Greenfield,‘Sieved out’ site at Issues and Options.  It would significantly extend out from the settlement and not be well proportioned to the existing boundaries.  It would also be a large increase compared to the size of Ledsham which has minimal facilities and is not within the settlement hierarchy.,445761,429737
1277,"Claypit Lane, Hill Top Farm, Ledsham",3.3,"",74,P,"",Mixed,"‘Sieved out’ site at Issues and Options as not within the settlemenet hierarchy.  Agricultural field with some tree cover, farm buildings and dwellings with gardens.  It would extend out from the settlement and not be well proportioned to the existing boundaries.",445385,429784
1321,"Moorleigh Drive, South of Pondfields Drive, Kippax",0.3,"",13,R,Smaller Settlement Infill,Greenfield,"Designated as N1A allotment site on the UDP and local preference is for retention.   Development would be set within the middle of the allotment area, so could set a precedent for further pressure to release adjacent land.",441689,430637
1366,"Selby Road (land south of), Garforth , LS25 1",1.1,"",38,G,Major Settlement Infill,Brownfield,"A three part brownfield site located within the settlement boundary.  Two sites contain existing residential dwellings and the other is surrounded by houses.  Originally submitted as a way to improve access into the larger adjacent PAS site to the south (2132). Not allocated because not needed in the plan period as part of access for 2132 (as 2132 proposed to retain as PAS, not an allocation), and can’t also allocate as PAS as not Green Belt.",439869,432359
2032,"Lotherton Way, Ash Lane, Garforth",0.7,"",23,A,Major Settlement Infill,Greenfield,Within the existing settlement.  Concerns over access and without use of adjacent site 2091 (not to be allocated) there is little scope to improve.,441351,433840
2091,"Aberford Road, Garforth  LS25",1.7,"",55,A,Major Settlement Infill,Greenfield,Within existing settlement.  Currently in use as playing pitches and local preference for their retention.,441359,433694
2156,"North of Lotherton Way, Hawks Nest Wood (west off),  Garforth",36.3,"",954,A,"",Greenfield,"Green Belt site. The proposed HS2 rail route runs through the northern part of the site.  Highway concerns re local network, and narrow railway bridge for access. Ecology concerns.  Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the east/north of Garforth.",440788,434075
2157A,"Ridge Road, East of",28.1,"",631,A,"",Greenfield,"Green Belt site that has a long road frontage but would significantly extend Micklefield to the west and north, without strong defensible boundaries to prevent further sprawl into the Green Belt gap between Garforth and Micklefield.  1232B is a better site for development and allocating both sites would greatly increase coalescence.",443704,433492
2157B,"Ridge Road, East of",105.9,"",2383,R,"",Greenfield,Green Belt site which is disproportionate and not well related to the settlement of Micklefield. It would result in a substantial incursion into Green Belt and significantly reduce the gap between Micklefield and Garforth.  The proposed HS2 rail route runs through the northern part of the site. 1232B is a better site for development and allocating both sites would greatly increase coalescence.,443478,433606
3096,"King Edward Avenue, Allerton Bywater",3.4,"",76,R,"",Greenfield,Green Belt site which relates poorly to the existing settlement and extends beyond the tree lined buffer on its western boundary that acts as a strong defensible boundary.  Flat 'C' shaped site with an unusual boundary that doesn't relate well to the existing features on the ground. Further encroachment into the Green Belt would impact on the countryside and the existing Site of Ecological and Geological Importance (SEGI) to the south of the site.,440562,428392
3100A,"Whitehouse Lane, Swillington",1.9,"",70,R,"",Greenfield,Within the Green Belt.  Very steep gradient prohibiting development and does not relate well to the existing settlement pattern.,440258,429835
3101,"Preston Lane, Great Preston",19.5,"",628,R,"",Greenfield,"Green Belt large site to the south west of Great Preston. The site has no existing defensible boundary and, if developed, would set a precedent for further sprawl.   Development would not relate well to the existing settlement pattern and cuts across several fields.  It also contains mature trees.",440000,429275
3102,"Woodlands View, Kippax",1.5,"",48,R,"",Greenfield,Green Belt site to the south of Kippax.  Sloping site.  No existing defensible boundary.  Development would not relate well to the existing settlement form and could set a precedent for further Green Belt sprawl.,442009,429847
3103,"Sandgate Lane, Kippax",2.1,"",56,R,"",Greenfield,"Green Belt site.  The site is not connected to the settlement and adjoins a heavily treed area to the south, this separates the site from Kippax and prevents any road access being available.  Development would represent an island unrelated to the existing settlement.  To the north there is no visible boundary on the ground, as the site cuts through a series of fields.  Development would only be possible through neighbouring site 2131 but this is now identified to retain as existing PAS, so no need to extend it to include 3103.",442133,431013
3104,"Sandgate Rise, Kippax",5.6,"",147,R,"",Greenfield,"Green Belt site.  The site has no existing defensible boundary so development would lead to a high risk of further sprawl.  Development would be unrelated to the existing settlement form.  Access issues, limited road frontage.",442368,430469
3105,"Sandgate Drive, Kippax",2.1,"",55,R,Smaller Settlement Infill,Mixed,Allotment N1a site so is not considered suitable for development. The site boundary is also not rational as contains existing dwellings and may be an anomaly.,442187,430556
3106,"Selby Road, Swillington",82.4,"",1916,R,"",Greenfield,"Green Belt sit which relates poorly to Garforth and would result in a significant isolated finger of development encroaching into the Green Belt to the west of Garforth, eroding the gap between Garforth and East Leeds.  Preventing the coalescence of settlements is one of the purposes of Green Belts.  The site has no existing defensible boundaries.  The western part of site is affected by the proposed HS2 rail route.",438784,432415
3107,"Selby Road (N), Garforth",2.2,"",58,R,"",Greenfield,"Green Belt site. The site is in an isolated position within the Green Belt, unrelated to the existing settlement of Garforth.  Development would set a precedent for further unrestricted sprawl.  There is no road frontage to the site for access.   A large portion of the site is covered with  trees.",440241,432064
3108,"Selby Road (S), Garforth",0.6,"",18,R,"",Greenfield,"Green Belt site. The site is in an isolated position within the Green Belt, unrelated to the existing settlement of Garforth.  Development would set a precedent for further unrestricted sprawl.  There is no road frontage to the site for access.  It is also covered with dense trees.",440122,432089
3109A,"Selby Road/Leeds Road, Kippax",11.3,"",140,A,"",Greenfield,Green Belt site contained on the west and eastern boundaries but which would create significant encroachment and would lead to further pressure for release of land to the north and south.  Highways concerns over access.  Local preference that on balance are better sites for Green Belt release than this one.,440555,431195
3109B,"Selby Road/Leeds Road, Kippax",65.6,"",1721,R,"",Greenfield,"Large Green Belt site that if developed would lead to complete coalescence of Garforth and Kippax, contrary to one of the key functions of Green Belt.",440766,431766
3110,"Acaster Drive, Garforth",5.5,"",0,A,"",Greenfield,Now included as part of 1232B following discussions at member meeting - capacity carried over into 1232B,441728,432339
3112,"Wakefield Road, Garforth",9.3,"",243,A,"",Greenfield,"Green Belt site. There have been substantial objections to development due to access, traffic, and flooding issues.  Also important strategic purpose in keeping gap between settlements open.  On its own the site would not relate well to the existing settlement form. Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the west/north of Garforth.",439448,433110
3113,"Barrowby Lane, Garforth",0.6,"",18,A,"",Greenfield,"Green Belt site. There have been substantial objections to development due to access, traffic, and flooding issues.  Also important strategic purpose in keeping gap between settlements open.  On its own the site would not relate well to the existing settlement form. The proposed HS2 rail line runs to the north and highways concerns regarding access and accessibility.  Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the west/north of Garforth.",439571,433722
3115,"New Hold, Garforth",2.6,"",68,R,"",Greenfield,"Green Belt site.  Site is isolated and unrelated to the existing settlement, with no road access and poor accessibility.   The site provides access to the countryside and Hawks Nest Wood.  The site has no existing defensible boundaries.  The proposed HS2 rail line runs to the north of the site.  Major site 1232B to east of Garforth chosen on balance as a better site for development than the combined sites to the west/north of Garforth.",441062,434254
3116,"Pit Lane, Micklefield",5.7,"",127,R,"",Greenfield,"Green Belt site which relates poorly to settlement, only connected partially on one side and high potential for further sprawl.  It is adjacent to a school and therefore at this time cannot state with certainty that it won’t be needed for a school expansion.  Highways concerns over access.",444150,433142
